Артикул;Наименование;Бренд;Николаевская обл.;Одесская обл;Запорожская обл.;Киевская обл.;Херсонская обл.;Цена;Валюта
"AL12";"Фильтр осушителя воздуха Mahle";"MAHLE FILTERS";">10";"1";"2";"8";"2";"13.50";"EUR"
"HX15";"Фильтр масляный Mahle";"MAHLE FILTERS";"2";"0";"0";"1";"0";"3.21";"EUR"
"HX46";"Фильтр АКПП Mahle";"MAHLE FILTERS";"1";"1";"1";"2";"0";"10.97";"EUR"
"HX81D";"Фильтр масляный АКПП";"MAHLE FILTERS";"4";"1";"2";"1";"1";"8.43";"EUR"
"HX84D";"Фильтр масляный АКПП";"MAHLE FILTERS";"1";"0";"0";"0";"0";"19.87";"EUR"
"KC100";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"2";"2";"9";"2";"7.65";"EUR"
"KC101";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"1";"2";"1";"9.58";"EUR"
"KC101/1";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"8";"5";">10";"2";"10.40";"EUR"
"KC102";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"4";"6";"1";"5.54";"EUR"
"KC103";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"1";"0";"0";"8.29";"EUR"
"KC109";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"1";"5";"5";"10.00";"EUR"
"KC116";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"1";"1";"2";"0";"14.04";"EUR"
"KC135";"Фильтр топливный Mahle";"MAHLE FILTERS";"8";"1";"1";">10";"2";"15.85";"EUR"
"KC140";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"2";"0";"14.81";"EUR"
"KC16";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"1";"0";"14.09";"EUR"
"KC161";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"1";"0";"12.08";"EUR"
"KC17";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"0";"1";"0";"5.41";"EUR"
"KC171";"Фильтр топливный Mahle";"MAHLE FILTERS";"8";"1";"0";"5";"1";"20.83";"EUR"
"KC179";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"1";"4";"3";"11.69";"EUR"
"KC18";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";">10";"8";">10";">10";"5.21";"EUR"
"KC182";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"2";"0";"12.55";"EUR"
"KC183";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"1";"0";"4";"1";"7.51";"EUR"
"KC186";"Фильтр топливный Mahle";"MAHLE FILTERS";"3";"1";"0";"2";"1";"9.74";"EUR"
"KC188";"Фильтр топливный Mahle";"MAHLE FILTERS";"6";"1";"2";"2";"2";"9.70";"EUR"
"KC189";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"9.08";"EUR"
"KC191";"Фильтр топливный Mahle";"MAHLE FILTERS";"5";"0";"3";"6";"2";"8.39";"EUR"
"KC195";"Фильтр топливный Mahle KC196";"MAHLE FILTERS";"6";"1";"2";"2";"2";"16.31";"EUR"
"KC195/1";"Фильтр топливный";"MAHLE FILTERS";"0";"0";"0";"1";"0";"17.57";"EUR"
"KC197";"Фильтр топливный Mahle";"MAHLE FILTERS";"7";"2";"1";"2";"4";"8.93";"EUR"
"KC199";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"0";"0";"1";"0";"5.68";"EUR"
"KC20";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"2";"3";"0";"3.44";"EUR"
"KC200";"Фильтр топливный Mahle";"MAHLE FILTERS";"7";"2";"2";"4";"1";"27.87";"EUR"
"KC208";"Фильтр топливный";"MAHLE FILTERS";">10";"0";"2";"5";"1";"8.46";"EUR"
"KC22";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"3";"6";"0";"3.91";"EUR"
